,pq,aic,bic,aic_o,bic_o,aic_bic
0,"(0, 1)",1.0,1.0,-1645.78,-1633.21,1.0
4,"(1, 0)",0.991561181434605,0.9976822044810731,-1645.7,-1633.12,0.9946216929578391
1,"(0, 2)",0.8597046413502198,0.8575843420036122,-1644.45,-1627.68,0.858644491676916
9,"(2, 0)",0.8407172995780741,0.8529487509657514,-1644.27,-1627.5,0.8468330252719127
6,"(1, 2)",0.883966244725741,0.7556013391707452,-1644.68,-1623.72,0.8197837919482431
5,"(1, 1)",0.784810126582272,0.8392995106876171,-1643.74,-1626.97,0.8120548186349446
2,"(0, 3)",0.8407172995780741,0.7450424929178467,-1644.27,-1623.31,0.7928798962479604
14,"(3, 0)",0.784810126582272,0.7313932526397124,-1643.74,-1622.78,0.7581016896109922
10,"(2, 1)",0.6350210970464047,0.6948235900077222,-1642.32,-1621.36,0.6649223435270635
11,"(2, 2)",0.7014767932489576,0.6031419005923269,-1642.95,-1617.8,0.6523093469206422
7,"(1, 3)",0.6497890295358673,0.5905227916559355,-1642.46,-1617.31,0.6201559105959014
3,"(0, 4)",0.6371308016877606,0.5874323976306997,-1642.34,-1617.19,0.6122815996592301
19,"(4, 0)",0.5970464135021132,0.5773886170486762,-1641.96,-1616.8,0.5872175152753947
15,"(3, 1)",0.5706751054852361,0.5712078289981974,-1641.71,-1616.56,0.5709414672417168
16,"(3, 2)",0.5696202531645724,0.46304403811485884,-1641.7,-1612.36,0.5163321456397156
12,"(2, 3)",0.5485232067510708,0.45763584857069617,-1641.5,-1612.15,0.5030795276608835
8,"(1, 4)",0.46729957805908384,0.43780582024208314,-1640.73,-1611.38,0.4525526991505835
20,"(4, 1)",0.43987341772151467,0.4311099665207294,-1640.47,-1611.12,0.43549169212112204
17,"(3, 3)",0.3565400843882003,0.30285861447335094,-1639.68,-1606.14,0.3296993494307756
13,"(2, 4)",0.35443037974684444,0.30234354880246883,-1639.66,-1606.12,0.32838696427465663
21,"(4, 2)",0.2594936708860871,0.27916559361318605,-1638.76,-1605.22,0.2693296322496366
18,"(3, 4)",0.15400843881857895,0.1455060520216307,-1637.76,-1600.03,0.14975724542010482
22,"(4, 3)",0.1170886075949511,0.1364924027813572,-1637.41,-1599.68,0.12679050518815416
23,"(4, 4)",0.0,0.0,-1636.3,-1594.38,0.0
